"Spitalname";"2019";"2020";"2021";"Änd. Vorjahr"
"Universitätsspital Zürich";6.5652750011623;6.49472186287193;6.41450869102519;-0.0802131718467418
"Kantonsspital Winterthur";4.8450598266103;4.7701235212897;4.71545208214489;-0.0546714391448022
"Stadtspital Triemli";5.00283205890682;4.83596978171042;4.85835264040904;0.0223828586986219
"Klinik Hirslanden";5.4227352518751;5.60493626254407;5.51316471441899;-0.0917715481250836
"See-Spital Standort Horgen";5.32304498269896;5.29202569324769;5.1608083108012;-0.131217382446494
"See-Spital Standort Kilchberg";3.39503298409003;3.18520102651839;3.05064277366576;-0.134558252852634
"Spital Uster";5.57578988176003;5.15704196094724;4.69216812821288;-0.464873832734355
"Spital Limmattal";4.80729850354424;4.61871582289645;4.49452463912394;-0.124191183772512
"Spital Bülach";4.97600075886928;4.81397892225094;4.89005950638962;0.0760805841386762
"Spital Zollikerberg";4.96999347684279;4.84964421033176;4.8540404914345;0.00439628110274182
"GZO AG Spital Wetzikon";4.03337489210703;4.07045247494686;4.20047947258016;0.130026997633305
"Stadtspital Waid";6.50034562211982;6.83501352348168;7.00376442015786;0.168750896676181
"Schulthess Klinik";4.16927417286484;4.02085777603963;3.81296851574213;-0.2078892602975
"Kinderspital Zürich";5.5158185973776;5.57553092026179;5.42627646326276;-0.149254456999023
"Spital Männedorf";5.22805933250927;5.13556067588326;5.03368446839784;-0.101876207485413
"Universitätsklinik Balgrist";5.20636725412166;5.05724838411819;5.05181347150259;-0.00543491261559925
"Spital Affoltern";5.94288250961823;6.6109008327025;7.09641434262948;0.485513509926984
"Paracelsus-Spital Richterswil";4.28319057815846;4.20566419420094;;
"Limmatklinik";2.01753246753247;2.05235602094241;2.00975081256771;-0.0426052083746944
"Klinik Lengg";5.67892976588629;5.71265678449259;5.67132116004296;-0.0413356244496237
"Uroviva Klinik für Urologie";2.89122280570143;2.94646680942184;2.83322033898305;-0.113246470438791
"Adus Medica";2.09506172839506;2.17096336499322;2.09838107098381;-0.072582294009405
"Klinik Susenberg";16.5483870967742;16.1306818181818;16.1428571428571;0.0121753246753258
"Sune-Egge";42.752;42.9027777777778;37.3184357541899;-5.58434202358784
"Spitäler mit Zürcher Leistungsauftrag";5.33625487784375;5.26057448092314;5.1992424925602;-0.0613319883629408
"Geburtshaus Zürcher Oberland";3.91545893719807;3.54303797468354;3.38712972420838;-0.155908250475168
"Geburtshaus Delphys";3.18702290076336;3.03358208955224;3.13930348258706;0.105721393034826
"Geburtshäuser mit Zürcher Leistungsauftrag";3.63313609467456;3.33710407239819;3.29266750948167;-0.0444365629165215
"Klinik Im Park";4.48118190822053;4.51235664674528;4.57753669432036;0.0651800475750814
"Privatklinik Bethanien";4.51550572519084;4.37560738581147;4.25373493975904;-0.121872446052431
"Klinik Lindberg";4.36240171551108;4.52761747732894;4.17339832869081;-0.354219148638129
"Klinik Pyramide am See";2.43038779402416;2.7084487534626;2.52648372686662;-0.18196502659598
"Klinik Tiefenbrunnen";1.64772727272727;1.825;1.72727272727273;-0.0977272727272727
"Spitäler ohne Zürcher Leistungsauftrag";4.21840721262209;4.25444648880711;4.18262030103062;-0.0718261877764927
"Total Kanton Zürich";5.26487012015755;5.19187598339783;5.12861781134816;-0.0632581720496752
"Spitäler Schaffhausen";5.38850063532402;4.92166792371512;;-0.466832711608898
