"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Universitätsspital Zürich";43077;38700;39523;2.12661498708011
"Kantonsspital Winterthur";27957;26828;28081;4.67049351423885
"Stadtspital Triemli";24717;23964;25037;4.47754965782006
"Klinik Hirslanden";18799;18435;19295;4.66503932736642
"See-Spital Standort Horgen";7227;6383;7029;10.1206329312236
"See-Spital Standort Kilchberg";2577;2338;2567;9.79469632164243
"Spital Uster";10318;9628;9921;3.04320731200665
"Spital Limmattal";11433;11348;12062;6.29185759605217
"Spital Bülach";10546;10060;10252;1.90854870775348
"Spital Zollikerberg";10732;10823;11558;6.79109304259446
"GZO AG Spital Wetzikon";10431;9884;10011;1.28490489680291
"Stadtspital Waid";8680;8138;8242;1.27795527156549
"Schulthess Klinik";7798;7671;8004;4.34102463824795
"Kinderspital Zürich";8563;7732;8301;7.35902741852044
"Spital Männedorf";8090;7812;8164;4.50588837685613
"Universitätsklinik Balgrist";5655;5734;6519;13.6902685734217
"Spital Affoltern";3699;3064;2907;-5.12402088772846
"Paracelsus-Spital Richterswil";1868;1483;;
"Limmatklinik";1540;1528;1846;20.8115183246073
"Klinik Lengg";1402;1395;1530;9.6774193548387
"Uroviva Klinik für Urologie";1333;1401;1475;5.2819414703783
"Adus Medica";810;737;803;8.95522388059702
"Klinik Susenberg";481;441;462;4.76190476190477
"Sune-Egge";125;144;179;24.3055555555556
"Spitäler mit Zürcher Leistungsauftrag";227858;215671;223768;3.75432951115355
"Geburtshaus Zürcher Oberland";828;790;979;23.9240506329114
"Geburtshaus Delphys";524;536;603;12.5
"Geburtshäuser mit Zürcher Leistungsauftrag";1352;1326;1582;19.3061840120664
"Klinik Im Park";6058;6191;6269;1.25989339363592
"Privatklinik Bethanien";4192;4116;4150;0.82604470359573
"Klinik Lindberg";1399;1213;1436;18.3841714756801
"Klinik Pyramide am See";1573;1444;1567;8.5180055401662
"Klinik Tiefenbrunnen";88;80;66;-17.5
"Spitäler ohne Zürcher Leistungsauftrag";13310;13044;13488;3.40386384544618
"Total Kanton Zürich";242520;230041;238838;3.82410092114014
"Spitäler Schaffhausen";10885;10492;;-3.61047312815802
