"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";271;27;33;419;12;2;27;7;5;451;59;11;37;214;2300;28;1;7;5;0;1;0;16;3933;23;24;0;40;8;95;2;277
"Dermatologie";"DER1";9;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;1
"";"DER1.1";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;1;0;0;0;4;0;
"";"DER1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"DER2";0;0;0;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";29;1;0;10;0;0;1;0;0;0;1;0;0;13;21;0;0;0;3;0;0;0;0;79;1;0;0;2;0;3;0;8
"";"HNO1.1";29;1;1;3;0;0;0;0;0;0;1;0;0;4;3;0;0;0;5;0;0;0;0;47;1;2;0;3;0;6;0;2
"";"HNO1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.2";16;0;0;21;1;1;1;0;0;0;0;0;0;0;32;0;0;0;3;0;0;0;0;75;2;1;0;21;0;24;0;5
"";"HNO1.2.1";1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HNO1.3";14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;1;0;0;0;1;0;
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HNO1.3.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO2";7;0;7;20;0;0;1;0;1;4;0;0;0;0;3;0;0;0;0;0;0;0;0;43;1;4;0;2;0;7;0;3
"";"KIE1";8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;1;1;0;4;0;6;0;
"Neurochirurgie";"NCH1";28;0;0;22;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;54;0;0;0;1;0;1;0;1
"";"NCH1.1";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH1.1.1";7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
"";"NCH1.1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH3";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"Neurologie";"NEU1";10;0;0;22;1;0;0;0;0;2;3;1;0;3;19;0;0;0;0;1;0;0;0;62;0;0;0;0;0;0;0;4
"";"NEU2";1;0;0;1;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"NEU2.1";3;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"NEU3";25;0;1;85;0;0;3;0;0;4;2;0;0;0;68;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;3
"";"NEU3.1";2;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"";"NEU4";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;14;0;0;0;0;0;0;0;
"";"NEU4.1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;
"";"NEU4.2";2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;11;0;0;0;16;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"AUG1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"AUG1.2";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;
"";"AUG1.3";1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;10;10;0;0;0;0;10;0;1
"";"AUG1.4";5;2;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;1;0;1;0;1
"";"AUG1.5";62;2;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;77;3;0;0;0;0;3;0;3
"Endokrinologie";"END1";4;0;1;4;0;0;0;0;0;4;3;0;0;6;21;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;1
"Gastroenterologie";"GAE1";22;0;1;63;0;0;2;1;0;26;0;0;0;1;187;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;1
