"Leistungsbereich";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";73140;57.7487694831829;26.3891167623735;76.744599398414;4.88148755810774
"Dermatologie";751;56.0026631158455;33.155792276964;38.2157123834887;6.61251664447403
"Hals-Nasen-Ohren";6686;42.5810649117559;24.8878253066108;10.200418785522;3.03858809452587
"Neurochirurgie";1335;56.5056179775281;27.4906367041199;33.4831460674157;9.76179775280899
"Neurologie";4931;64.3613871425674;27.1547353477996;78.4425065909552;5.66680186574731
"Ophthalmologie";2925;68.8663247863248;38.7692307692308;14.0854700854701;1.80581196581197
"Endokrinologie";1183;61.7464074387151;19.1039729501268;82.502113271344;9.06086221470837
"Gastroenterologie";6254;67.824272465622;27.83818356252;73.7927726255197;7.50351774864087
"Viszeralchirugie";4211;57.3832818807884;27.8318689147471;26.5732605081928;9.58085965328901
"Hämatologie";2273;63.1262648482182;32.6880774307083;49.6700395952486;8.3383194016718
"Gefässe";3071;70.3015304461088;34.5164441549984;31.7160534028004;7.57668511885379
"Herz";8566;67.6114872752743;34.8470698108802;35.138921316834;5.63016577165538
"Nephrologie";637;66.8414442700157;20.5651491365777;70.1726844583987;10.6263736263736
"Urologie";10743;62.4816159359583;31.1365540351857;19.342827887927;3.92180955040491
"Pneumologie";2471;60.0461351679482;20.315661675435;68.1910157830838;8.70942938081748
"Thoraxchirurgie";519;60.3333333333333;28.131021194605;13.102119460501;7.92292870905588
"Transplantationen";88;47.0568181818182;0;76.1363636363636;22.3522727272727
"Bewegungsapparat chirurgisch";27489;57.1761431845465;39.4557823129252;13.5617883517043;5.302557386591
"Rheumatologie";697;61.1664275466284;25.9684361549498;64.1319942611191;5.81205164992826
"Gynäkologie";6233;49.9874859618161;31.4936627627146;11.2465907267768;3.03369164126424
"Geburtshilfe";18414;32.5103182361247;21.2175518627132;60.1716085587053;3.90642989030086
"Neugeborene";16778;0;0.983430683037311;1.96686136607462;3.96495410656813
"(Radio-)Onkologie";1715;59.334693877551;27.8717201166181;27.1720116618076;7.80816326530612
"Schwere Verletzungen";567;55.2910052910053;22.9276895943563;79.8941798941799;9.97883597883598
"Total";201677;51.4558278831994;26.6639230055981;47.2041928430113;5.05630290018197
