"Kanton";"2019";"2020";"% Änd. Vorjahr"
"ZH";200125;189860;-5.12929419113054
"BE";712;746;4.7752808988764
"LU";757;721;-4.7556142668428
"UR";33;26;-21.2121212121212
"SZ";770;774;0.51948051948052
"OW";23;31;34.7826086956522
"NW";37;37;0
"GL";62;78;25.8064516129032
"ZG";1028;1210;17.704280155642
"FR";20;22;10
"SO";81;101;24.6913580246914
"BS";321;313;-2.49221183800623
"BL";239;263;10.0418410041841
"SH";1180;1100;-6.77966101694916
"AR";175;167;-4.57142857142857
"AI";17;9;-47.0588235294118
"SG";1450;1377;-5.03448275862068
"GR";1535;1656;7.8827361563518
"AG";1455;1462;0.481099656357387
"TG";1126;1154;2.48667850799289
"TI";271;221;-18.450184501845
"VD";119;104;-12.6050420168067
"VS";180;177;-1.66666666666667
"NE";11;11;0
"GE";58;50;-13.7931034482759
"JU";15;7;-53.3333333333333
"Total ohne Zürich";11675;11817;1.21627408993576
"Total Zürcher PatientInnen";211800;201677;-4.7795089707271
