"Spitalname";"Stationär";"Ambulant";"Langzeit";"übrige Aufträge";"Total"
"Universitätsspital Zürich";839407.329;461825.836;33.869;244258.434;1545525.468
"Kantonsspital Winterthur";326885.979;182533.235;4.596;32067.768;541491.578
"Stadtspital Triemli";309329.431;141966.559;9.535;70403.56;521709.085
"Klinik Hirslanden";378381.851;52646.824;3.284;28067.226;459099.185
"See-Spital";99443.418;25214.9;7.473;23079.69;147745.481
"Spital Uster";101072.845;49134.199;0;22712.813;172919.857
"Spital Limmattal";113153.482;67453.931;36.589;17701.848;198345.85
"Spital Bülach";92916.207;38484.368;1.245;15729.293;147131.113
"Spital Zollikerberg";115797.253;42587.241;0;5129.934;163514.428
"GZO AG Spital Wetzikon";94181.383;43916.301;0;6874.678;144972.362
"Stadtspital Waid";100933.747;47748.008;32.104;14797.078;163510.937
"Schulthess Klinik";119094.769;66212.648;0;22666.094;207973.511
"Kinderspital Zürich";153760.478;83305.368;0;56609.745;293675.591
"Spital Männedorf";87808.304;43038.911;0;15471.45;146318.665
"Universitätsklinik Balgrist";97203.584;49700.142;0;20671.844;167575.57
"Spital Affoltern";30473.894;14946.505;0;9910.515;55330.914
"Limmatklinik";13994.83;3936.78;0;643.299;18574.909
"Klinik Lengg";13551.573;4609.439;0;2673.89;20834.902
"Uroviva Klinik für Urologie";15271.447;1180.043;0;658.878;17110.368
"Adus Medica";7140.937;1351.438;0;118.082;8610.457
"Klinik Susenberg";4067.9;41.314;0;250.499;4359.713
"Sune-Egge";6394.9;1499.455;0;3413.346;11307.701
"Spitäler mit Zürcher Leistungsauftrag";3120265.541;1423333.445;128.695;613909.964;5157637.645
"Geburtshaus Zürcher Oberland";3308.125;450.26;0;140.028;3898.413
"Geburtshaus Delphys";2097.373;443.617;0;105.661;2646.651
"Geburtshäuser mit Zürcher Leistungsauftrag";5405.498;893.877;0;245.689;6545.064
"Klinik Im Park";131216.295;28145.248;10.376;9152.332;168524.251
"Privatklinik Bethanien";64026.867;5830.455;0;5452.801;75310.123
"Klinik Lindberg";22719.773;4413.895;0;2721.34;29855.008
"Klinik Pyramide am See";15276.531;181.669;0;75.596;15533.796
"Klinik Tiefenbrunnen";216.159;864.635;0;0;1080.794
"Spitäler ohne Zürcher Leistungsauftrag";233455.625;39435.902;10.376;17402.069;290303.972
"Total Kanton Zürich";3359126.664;1463663.224;139.071;631557.722;5454486.681
"Spitäler Schaffhausen";95666.063;50455.305;0;5775.251;151896.619
