"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";39466;0;45;39511
"Kantonsspital Winterthur";28048;0;28;28076
"Stadtspital Triemli";25034;0;0;25034
"Klinik Hirslanden";19294;0;0;19294
"See-Spital Standort Horgen";7027;0;0;7027
"See-Spital Standort Kilchberg";2567;0;0;2567
"Spital Uster";9921;0;0;9921
"Spital Limmattal";12054;0;0;12054
"Spital Bülach";10251;0;0;10251
"Spital Zollikerberg";11558;0;0;11558
"GZO AG Spital Wetzikon";10011;0;0;10011
"Stadtspital Waid";8235;0;0;8235
"Schulthess Klinik";8004;0;0;8004
"Kinderspital Zürich";8030;219;52;8301
"Spital Männedorf";8164;0;0;8164
"Universitätsklinik Balgrist";6176;343;0;6519
"Spital Affoltern";2510;0;397;2907
"Limmatklinik";1846;0;0;1846
"Klinik Lengg";931;599;0;1530
"Uroviva Klinik für Urologie";1475;0;0;1475
"Adus Medica";803;0;0;803
"Klinik Susenberg";196;266;0;462
"Sune-Egge";179;0;0;179
"Spitäler mit Zürcher Leistungsauftrag";221780;1427;522;223729
"Geburtshaus Zürcher Oberland";979;0;0;979
"Geburtshaus Delphys";603;0;0;603
"Geburtshäuser mit Zürcher Leistungsauftrag";1582;0;0;1582
"Klinik Im Park";6268;0;0;6268
"Privatklinik Bethanien";4150;0;0;4150
"Klinik Lindberg";1436;0;0;1436
"Klinik Pyramide am See";1567;0;0;1567
"Klinik Tiefenbrunnen";66;0;0;66
"Spitäler ohne Zürcher Leistungsauftrag";13487;0;0;13487
"Total Kanton Zürich";236849;1427;522;238798
"Spitäler Schaffhausen";9281;464;743;10488
