"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";272;418;59;1314;38;53;225;425;37;142;68;108;621;39;13;1137;455;1904;859;278;44;59;9;27;2;8606;30180;680;39466
"Kantonsspital Winterthur";21;30;4;36;2;3;20;23;7;8;8;11;1170;20;4;257;50;106;1239;22;2;7;0;2;2;3054;24791;203;28048
"Stadtspital Triemli";32;56;32;646;8;4;81;464;7;26;13;8;385;26;3;163;61;855;171;20;13;3;0;3;1;3081;21765;188;25034
"Klinik Hirslanden";89;249;25;626;18;24;93;352;11;71;25;63;197;55;14;689;276;1020;319;254;30;39;4;13;2;4558;14252;484;19294
"See-Spital Standort Horgen";13;29;1;329;0;1;23;59;2;8;2;5;7;0;0;81;13;72;12;4;1;1;0;1;0;664;6326;37;7027
"See-Spital Standort Kilchberg";2;18;3;130;1;4;9;20;1;6;3;4;4;0;1;38;7;99;8;8;3;2;0;1;2;374;2186;7;2567
"Spital Uster";9;7;5;18;3;1;5;3;0;6;0;0;13;2;0;49;11;44;28;4;1;1;1;0;0;211;9668;42;9921
"Spital Limmattal";20;23;1;26;1;1;5;23;4;13;1;8;9;1;0;23;8;1562;11;4;2;2;1;0;0;1749;10267;38;12054
"Spital Bülach";12;12;2;10;0;3;1;5;0;4;4;2;103;0;0;10;7;121;23;5;8;0;0;0;0;332;9812;107;10251
"Spital Zollikerberg";17;10;1;68;1;4;13;24;2;7;5;4;29;2;0;75;29;145;38;29;5;9;1;0;0;518;10988;52;11558
"GZO AG Spital Wetzikon";1;5;2;88;0;1;8;1;4;3;0;0;7;1;0;276;15;27;52;3;2;1;0;0;0;497;9471;43;10011
"Stadtspital Waid";19;12;3;16;2;1;1;8;4;7;4;2;9;0;0;23;19;86;19;5;2;6;0;2;0;250;7929;56;8235
"Schulthess Klinik";63;153;49;283;16;23;76;152;7;86;15;33;144;20;7;273;127;828;253;281;36;49;5;5;3;2987;4767;250;8004
"Kinderspital Zürich";75;83;9;306;13;18;37;54;3;65;18;25;148;7;7;281;93;528;101;61;18;19;4;6;3;1982;5842;206;8030
"Spital Männedorf";18;10;0;88;0;1;12;13;0;12;2;1;14;2;0;1190;15;53;21;14;4;1;0;0;0;1471;6648;45;8164
"Universitätsklinik Balgrist";98;115;16;214;11;13;41;101;15;76;18;31;121;5;2;162;70;489;131;86;18;27;3;3;3;1869;4216;91;6176
"Spital Affoltern";6;11;0;19;0;0;3;194;1;8;0;1;1;0;0;2;2;148;4;1;1;0;0;1;0;403;2098;9;2510
"Limmatklinik";29;20;3;49;1;2;8;20;1;20;8;6;14;2;1;39;20;170;34;19;8;4;0;5;2;485;1346;15;1846
"Klinik Lengg";26;67;15;28;11;3;4;25;5;18;14;19;31;3;0;69;35;76;34;5;0;2;1;0;0;491;426;14;931
"Uroviva Klinik für Urologie";1;15;0;13;0;0;0;0;0;1;0;0;26;1;0;5;6;31;7;4;0;1;0;0;0;111;1342;22;1475
"Adus Medica";3;3;0;8;0;0;1;12;1;2;2;1;3;0;0;13;2;167;12;1;0;0;1;0;0;232;569;2;803
"Klinik Susenberg";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;0;0;0;0;0;7;188;1;196
"Sune-Egge";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;5;0;0;0;0;0;0;10;167;2;179
"Spitäler mit Zürcher Leistungsauftrag";826;1347;230;4315;126;160;666;1978;112;589;211;332;3057;186;52;4856;1322;8536;3381;1110;198;233;30;69;20;33942;185244;2594;221780
"Geburtshaus Zürcher Oberland";0;0;2;18;0;0;4;0;0;0;0;0;26;0;0;77;6;6;47;0;0;0;0;0;0;186;791;2;979
"Geburtshaus Delphys";2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;26;577;0;603
"Geburtshäuser mit Zürcher Leistungsauftrag";2;0;2;20;0;0;4;0;0;0;0;0;26;0;0;77;6;28;47;0;0;0;0;0;0;212;1368;2;1582
"Klinik Im Park";22;105;12;653;5;8;42;141;4;9;5;15;37;5;1;111;157;301;59;32;3;5;1;3;0;1736;4419;113;6268
"Privatklinik Bethanien";16;35;3;130;4;3;10;66;3;14;10;9;30;0;2;64;26;190;69;20;0;5;2;5;0;716;3418;16;4150
"Klinik Lindberg";2;3;10;4;0;0;0;1;0;1;0;0;59;1;0;22;5;20;107;3;1;0;0;0;0;239;1193;4;1436
"Klinik Pyramide am See";19;23;1;90;2;6;14;30;4;16;4;8;15;2;2;31;16;90;30;31;7;4;1;1;2;449;1012;106;1567
"Klinik Tiefenbrunnen";0;2;0;6;0;0;0;5;0;0;1;2;0;0;0;1;0;6;1;0;0;0;0;0;0;24;36;6;66
"Spitäler ohne Zürcher Leistungsauftrag";59;168;26;883;11;17;66;243;11;40;20;34;141;8;5;229;204;607;266;86;11;14;4;9;2;3164;10078;245;13487
"Total Kanton Zürich";887;1515;258;5218;137;177;736;2221;123;629;231;366;3224;194;57;5162;1532;9171;3694;1196;209;247;34;78;22;37318;196690;2841;236849
"Spitäler Schaffhausen";9;6;0;3;0;1;0;5;1;8;2;1;7419;2;0;16;4;19;414;3;4;0;0;3;0;7920;918;443;9281
